city,date,grass_pollen,temperature,humidity,wind_speed,precipitation
Berlin,2026-05-11,0.9625,13.108333333333334,70.54166666666667,12.375,1.5
Berlin,2026-05-12,1.1083333333333334,8.5375,68.45833333333333,11.445833333333333,8.0
Berlin,2026-05-13,0.85,9.4125,73.5,11.191666666666668,2.3
Berlin,2026-05-14,1.2541666666666667,10.191666666666666,73.66666666666667,9.637500000000001,4.7
Berlin,2026-05-15,2.1125000000000003,11.195833333333333,66.125,5.620833333333334,0.0
Berlin,2026-05-16,2.620833333333333,11.375,61.125,9.450000000000001,0.0
Berlin,2026-05-17,3.3833333333333333,13.1875,52.166666666666664,6.074999999999999,0.0
Hamburg,2026-05-11,1.6375,9.358333333333333,69.0,12.566666666666668,6.7
Hamburg,2026-05-12,1.5416666666666667,7.8374999999999995,72.08333333333333,10.6875,3.8
Hamburg,2026-05-13,1.6708333333333334,9.691666666666666,70.29166666666667,11.708333333333334,4.7
Hamburg,2026-05-14,1.8166666666666667,9.208333333333334,74.0,6.329166666666667,3.0999999999999996
Hamburg,2026-05-15,1.5916666666666666,9.475,69.66666666666667,9.304166666666667,1.1
Hamburg,2026-05-16,2.341666666666667,9.525,73.45833333333333,12.854166666666666,2.8
Hamburg,2026-05-17,4.129166666666666,11.645833333333334,64.83333333333333,8.066666666666666,0.2
Munich,2026-05-11,0.9249999999999999,13.729166666666666,74.79166666666667,13.741666666666667,8.3
Munich,2026-05-12,2.5791666666666666,6.966666666666666,64.875,14.237499999999999,4.6000000000000005
Munich,2026-05-13,5.066666666666666,9.808333333333334,57.125,11.204166666666666,0.2
Munich,2026-05-14,4.1375,9.9625,62.75,11.916666666666666,0.5
Munich,2026-05-15,2.9,9.4,65.79166666666667,6.066666666666666,15.8
Munich,2026-05-16,4.1375,8.516666666666667,73.625,9.354166666666666,8.1
Munich,2026-05-17,6.3500000000000005,10.395833333333334,58.916666666666664,4.716666666666667,0.0
Frankfurt,2026-05-11,1.5958333333333332,12.183333333333332,80.79166666666667,8.420833333333333,13.8
Frankfurt,2026-05-12,3.141666666666667,8.891666666666667,59.208333333333336,10.65,0.1
Frankfurt,2026-05-13,3.6041666666666665,10.716666666666667,67.54166666666667,12.333333333333334,5.5
Frankfurt,2026-05-14,3.7583333333333333,10.204166666666667,71.91666666666667,11.158333333333333,2.3
Frankfurt,2026-05-15,3.5666666666666664,10.254166666666666,71.08333333333333,3.716666666666667,3.2
Frankfurt,2026-05-16,4.379166666666666,10.533333333333333,61.5,5.3999999999999995,2.8
Frankfurt,2026-05-17,8.333333333333334,12.570833333333333,63.125,6.708333333333333,0.1
Stuttgart,2026-05-11,0.6958333333333333,13.299999999999999,77.95833333333333,11.375,7.0
Stuttgart,2026-05-12,2.375,8.483333333333333,62.125,11.245833333333332,2.2
Stuttgart,2026-05-13,2.9125,10.270833333333334,61.041666666666664,11.708333333333334,2.4000000000000004
Stuttgart,2026-05-14,1.7375,10.025,69.70833333333333,9.049999999999999,1.6
Stuttgart,2026-05-15,1.1291666666666667,9.354166666666666,71.54166666666667,5.420833333333333,1.3
Stuttgart,2026-05-16,3.7916666666666665,9.6625,64.70833333333333,5.904166666666666,0.6
Stuttgart,2026-05-17,6.545833333333333,12.266666666666666,57.333333333333336,4.754166666666666,0.1
Dresden,2026-05-11,1.7791666666666668,14.154166666666667,73.95833333333333,9.333333333333334,5.1000000000000005
Dresden,2026-05-12,1.1166666666666667,8.216666666666667,71.83333333333333,12.979166666666666,2.5
Dresden,2026-05-13,1.325,10.108333333333333,68.75,9.15,3.1
Dresden,2026-05-14,1.7,12.1625,59.875,8.866666666666667,0.5
